Id,Name,Introduction,Type,Version,Updated,Download
1,Audit,Basic EZ Mod,Dll,1.16.0.2,2020/6/26,https://www.baidu.com
2,BasicAntiCheat,Basic EZ Mod,Dll,1.16.0.2,2020/6/26,https://www.baidu.com
3,Blacklist,Basic EZ Mod,Dll,1.16.0.2,2020/6/26,https://www.baidu.com
4,BossBarSupport,Basic EZ Mod,Dll,1.16.0.2,2020/6/26,https://www.baidu.com
5,Bus,Basic EZ Mod,Dll,1.16.0.2,2020/6/26,https://www.baidu.com
6,ChatAPI,Basic EZ Mod,Dll,1.16.0.2,2020/6/26,https://www.baidu.com
7,CommandSupport,Basic EZ Mod,Dll,1.16.0.2,2020/6/26,https://www.baidu.com
8,CrashHandler,Basic EZ Mod,Dll,1.16.0.2,2020/6/26,https://www.baidu.com
9,CustomScoreboard,Basic EZ Mod,Dll,1.16.0.2,2020/6/26,https://www.baidu.com
10,DebugTool,Basic EZ Mod,Dll,1.16.0.2,2020/6/26,https://www.baidu.com
11,DynamicMotd,Basic EZ Mod,Dll,1.16.0.2,2020/6/26,https://www.baidu.com
12,Economy,Basic EZ Mod,Dll,1.16.0.2,2020/6/26,https://www.baidu.com
13,Essentials,Basic EZ Mod,Dll,1.16.0.2,2020/6/26,https://www.baidu.com
14,Experimental,Basic EZ Mod,Dll,1.16.0.2,2020/6/26,https://www.baidu.com
15,FlatWorld,Basic EZ Mod,Dll,1.16.0.2,2020/6/26,https://www.baidu.com
16,NetworkStatus,Basic EZ Mod,Dll,1.16.0.2,2020/6/26,https://www.baidu.com
17,NoEncryption,Basic EZ Mod,Dll,1.16.0.2,2020/6/26,https://www.baidu.com
18,NullPlayerData,Basic EZ Mod,Dll,1.16.0.2,2020/6/26,https://www.baidu.com
19,PacketDumper,Basic EZ Mod,Dll,1.16.0.2,2020/6/26,https://www.baidu.com
20,ScriptingSupport,Basic EZ Mod,Dll,1.16.0.2,2020/6/26,https://www.baidu.com
21,SignCommand,Basic EZ Mod,Dll,1.16.0.2,2020/6/26,https://www.baidu.com
22,SpawnProtection,Basic EZ Mod,Dll,1.16.0.2,2020/6/26,https://www.baidu.com
